company,time,metric,value
AB Borlänge Energi Elnät,1/1/2020,Varav inmatad energi från elproduktionsanläggningar anslutna till redovisningsenheten (MWh),119929
AB Borlänge Energi Elnät,1/1/2021,Varav inmatad energi från elproduktionsanläggningar anslutna till redovisningsenheten (MWh),107252
AB Borlänge Energi Elnät,1/1/2018,Varav inmatad energi från mikroproduktionsanläggningar till redovisningsenheten (MWh),306
AB Borlänge Energi Elnät,1/1/2019,Varav inmatad energi från mikroproduktionsanläggningar till redovisningsenheten (MWh),563
AB Borlänge Energi Elnät,1/1/2020,Varav inmatad energi från mikroproduktionsanläggningar till redovisningsenheten (MWh),1073
AB Borlänge Energi Elnät,1/1/2021,Varav inmatad energi från mikroproduktionsanläggningar till redovisningsenheten (MWh),1810
AB Borlänge Energi Elnät,1/1/2018,Årets nätförlust (MWh),14148
AB Borlänge Energi Elnät,1/1/2019,Årets nätförlust (MWh),14418
AB Borlänge Energi Elnät,1/1/2020,Årets nätförlust (MWh),26521
AB Borlänge Energi Elnät,1/1/2021,Årets nätförlust (MWh),16473
AB Borlänge Energi Elnät,1/1/2022,Årets nätförlust (MWh),13981
AB Borlänge Energi Elnät,1/1/2023,Årets nätförlust (MWh),13799
AB PiteEnergi,1/1/2018,Abonnemang i gränspunkt (antal),7
AB PiteEnergi,1/1/2019,Abonnemang i gränspunkt (antal),7
AB PiteEnergi,1/1/2020,Abonnemang i gränspunkt (antal),8
AB PiteEnergi,1/1/2021,Abonnemang i gränspunkt (antal),8
AB PiteEnergi,1/1/2022,Abonnemang i gränspunkt (antal),8
AB PiteEnergi,1/1/2023,Abonnemang i gränspunkt (antal),8
AB PiteEnergi,1/1/2022,Antal abonnemang i inmatningspunkt från elproduktions- och energilagringsanläggningar,192
AB PiteEnergi,1/1/2023,Antal abonnemang i inmatningspunkt från elproduktions- och energilagringsanläggningar,308
AB PiteEnergi,1/1/2018,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB PiteEnergi,1/1/2019,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB PiteEnergi,1/1/2020,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB PiteEnergi,1/1/2021,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB PiteEnergi,1/1/2022,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,14
AB PiteEnergi,1/1/2023,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,14
AB PiteEnergi,1/1/2018,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB PiteEnergi,1/1/2019,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB PiteEnergi,1/1/2020,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB PiteEnergi,1/1/2021,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB PiteEnergi,1/1/2022,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,161
AB PiteEnergi,1/1/2023,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,280
AB PiteEnergi,1/1/2018,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB PiteEnergi,1/1/2019,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB PiteEnergi,1/1/2020,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB PiteEnergi,1/1/2021,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB PiteEnergi,1/1/2022,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,17
AB PiteEnergi,1/1/2023,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,14
AB PiteEnergi,1/1/2018,Antal abonnenter med avbrott 12 - 24 timmar,5
AB PiteEnergi,1/1/2019,Antal abonnenter med avbrott 12 - 24 timmar,5
AB PiteEnergi,1/1/2020,Antal abonnenter med avbrott 12 - 24 timmar,1
AB PiteEnergi,1/1/2021,Antal abonnenter med avbrott 12 - 24 timmar,0
AB PiteEnergi,1/1/2022,Antal abonnenter med avbrott 12 - 24 timmar,
